cand,family,series,kind,periods,pub_lag_days,first_obs,transform,window,sign_IS,SR_IS,SR_OOS,SR_full,SR_full_gross,SR_full_stubcost,SR_of_SR,positive_years,n_years,beta,mean_pos,max_dd_days,max_dd_pct,turnover_ann,held_pct,tcost_pct_of_gross,gate_srsr,gate_posyr,gate_beta,gate_nyr,gate_oos,n_gates
us_mfg_new_orders_yoy|signth|w60,us_cycle,us_mfg_new_orders,yoy,12,65,1992-02-01,signth,60,1,0.059,0.008,0.045,0.058,0.054,-0.11,0.5,26,0.003,0.005114954781329282,3171,-73.0,10.07,99.56,22.23,False,False,True,True,True,3
cn_exports_yoy|bdtanh|w252,cn_cycle,cn_exports,yoy,12,60,1992-01-01,bdtanh,252,1,0.029,0.074,0.044,0.053,0.05,0.039,0.52,25,-0.002,-0.02871696845953308,3124,-62.96,7.3,99.74,17.8,False,False,True,True,True,3
us_mfg_new_orders_yoy|rankc|w120,us_cycle,us_mfg_new_orders,yoy,12,65,1992-02-01,rankc,120,1,0.024,0.09,0.044,0.056,0.052,-0.125,0.423,26,0.052,0.003019356093031708,4074,-75.12,9.73,99.71,21.05,False,False,True,True,True,3
us_stlfsi_level|dev|w120,risk,us_stlfsi,level,0,7,1993-12-31,dev,120,-1,0.021,0.107,0.044,0.064,0.058,-0.054,0.5,26,-0.113,-0.014565403172605929,3549,-64.7,15.34,99.46,31.44,False,False,True,True,True,3
us_empire_state_level|selfz|w120,us_survey,us_empire_state,level,0,16,2001-07-01,selfz,120,1,-0.004,0.148,0.043,0.055,0.051,0.072,0.56,25,-0.071,0.004718663628814625,5616,-93.75,9.43,99.36,22.59,False,False,True,True,True,3
cn_exports_yoy|selfz|w120,cn_cycle,cn_exports,yoy,12,60,1992-01-01,selfz,120,1,0.007,0.123,0.042,0.055,0.051,-0.014,0.577,26,0.008,-0.003159358413011906,5370,-66.94,8.84,99.27,24.35,False,False,True,True,True,3
cn_leading_idx_level|robustz|w120,cn_cycle,cn_leading_idx,level,0,45,1992-05-01,robustz,120,1,0.048,0.026,0.041,0.047,0.045,-0.01,0.44,25,0.026,0.021247943914052967,1938,-70.2,4.53,99.51,12.58,False,False,True,True,True,3
us_cfnai_level|bdtanh|w120,us_cycle,us_cfnai,level,0,56,1967-03-01,bdtanh,120,-1,-0.002,0.145,0.041,0.056,0.051,0.153,0.615,26,-0.035,0.01572803051905061,2794,-72.24,11.62,99.66,27.01,False,False,True,True,True,3
us_breakeven_5y5y_level|dev|w252,rates,us_breakeven_5y5y,level,0,0,2003-01-02,dev,252,-1,0.134,-0.156,0.038,0.07,0.06,0.326,0.667,24,0.079,0.03111085384753944,2207,-70.64,26.15,99.34,45.15,False,True,True,True,False,3
us_stlfsi_level|rankc|w60,risk,us_stlfsi,level,0,7,1993-12-31,rankc,60,-1,0.028,0.064,0.038,0.071,0.061,-0.047,0.462,26,-0.098,0.022267003519472688,3549,-63.3,26.02,99.4,46.52,False,False,True,True,True,3
cn_exports_yoy|dev|w60,cn_cycle,cn_exports,yoy,12,60,1992-01-01,dev,60,1,0.065,-0.036,0.034,0.049,0.044,-0.046,0.654,26,0.079,0.022308826390160026,5370,-56.53,9.61,98.3,29.5,False,True,True,True,False,3
us_breakeven_5y5y_level|dev|w60,rates,us_breakeven_5y5y,level,0,0,2003-01-02,dev,60,-1,0.145,-0.229,0.021,0.068,0.053,0.215,0.667,24,0.029,-0.0020531026806760973,2948,-65.75,36.03,99.28,68.73,False,True,True,True,False,3
us_term_premium_10y_level|dev|w60,rates,us_term_premium_10y,level,0,0,1990-01-02,dev,60,-1,0.127,-0.297,0.008,0.036,0.026,0.099,0.654,26,0.057,-0.002208460280636787,3505,-74.09,21.19,99.29,78.55,False,True,True,True,False,3
