,call_oi_total,call_cog,call_disp,call_otm_share,call_far_share,call_wall,call_front_share,call_churn,call_oi_growth,call_cog_chg,call_far_chg
2024-07-30,92143.0,0.07604622754592764,0.07725566253298365,0.9374342055283635,0.6901229610496727,0.07993450197245533,0.0,0.2619189737690329,0.05524060354771798,-0.005307753806302287,-0.031075327764539695
2024-07-31,97745.0,0.07594414373132792,0.07610165084399469,0.9452555117908844,0.6761778096066295,0.08111273528278984,0.0,0.19608164100465497,0.05902032853522954,-0.00010208381459972382,-0.013945151443043202
2024-08-01,101189.0,0.05546994814167363,0.0735671412184489,0.8345571158920436,0.5742027295457016,0.059972352387808625,0.8269179456265009,0.17890284517091778,0.034628008631306884,-0.02047419558965429,-0.10197508006092793
2024-08-02,110552.0,0.10074609602063708,0.07614356200743216,0.9715156668355163,0.7980226499746725,0.10915519807894314,0.8308940589044069,0.36497756711773643,0.08849594320779275,0.04527614787896345,0.22381992042897092
2024-08-05,118563.0,0.19456349794327243,0.08832590065900874,0.983941027133254,0.9702858395958267,0.21023373647563792,0.8236802375108592,0.28946635965689127,0.06995846637018666,0.09381740192263535,0.17226318962115417
2024-08-06,119725.0,0.15073876509984785,0.09088064289404736,0.955038630194195,0.9146460638964293,0.1706734591742265,0.8138400501148465,0.22250156608895386,0.009752981357303625,-0.043824732843424585,-0.055639775699397376
2024-08-07,120698.0,0.10672817937758684,0.08847602247578057,0.9258811247908002,0.8164426916767469,0.12701030463088547,0.7974282921009461,0.24950703408507183,0.00809411172924257,-0.044010585722261006,-0.09820337221968245
2024-08-08,124728.0,0.1278230102931703,0.0895025157973472,0.9473494323648258,0.8747113719453531,0.14997053200511745,0.7898867936630107,0.16119876852030018,0.0328438084163345,0.021094830915583465,0.05826868026860621
2024-08-09,127460.0,0.09611103517705645,0.08628132912720567,0.9186960615094931,0.7394241330613526,0.11789091247845729,0.7607406245096501,0.21632669072650243,0.02166722351189776,-0.03171197511611386,-0.13528723888400052
2024-08-12,128480.0,0.08048320435809998,0.08455440904165687,0.8949719800747198,0.6877724159402242,0.10226948100560063,0.7561955168119552,0.17217465753424657,0.007970660312302869,-0.015627830818956467,-0.05165171712112837
2024-08-13,135010.0,0.07761389950670436,0.08291986790456064,0.8996592844974446,0.6790534034515961,0.10109067619354795,0.7548255684764091,0.16775794385601067,0.04957559957070323,-0.0028693048513956237,-0.008719012488628053
2024-08-14,149589.0,0.06337597145321248,0.0789612611355303,0.8603573792190602,0.5610506120102414,0.0895595228637256,0.7722158714878767,0.3266015549271671,0.10254268365603814,-0.014237928053491875,-0.11800279144135473
2024-08-15,176142.0,0.06403675141457559,0.07513765282839346,0.9088689807087463,0.5593157793144168,0.09613216065461017,0.8037322160529573,0.5913070136594338,0.1633989544919494,0.0006607799613631005,-0.0017348326958246396
2024-08-16,178538.0,0.04363549853790257,0.07277190028769707,0.8205816128779307,0.4256348788493206,0.07385769506289441,0.8028879006149952,0.6811435100650842,0.01351097579978422,-0.020401252876673014,-0.13368090046509618
2024-08-19,191873.0,0.03873301066364362,0.07027935486751319,0.805699603383488,0.356167881880202,0.026344477798160737,0.8011862012893946,0.852199110870211,0.07203223111744173,-0.004902487874258954,-0.06946699696911862
2024-08-20,207684.0,0.03640710197221192,0.0679104727831516,0.8268427033377631,0.32549450126153195,0.007619565653548266,0.7972978178386395,0.8319129061458754,0.07918399889649486,-0.002325908691431698,-0.030673380618670032
2024-08-21,242726.0,0.038562845023109964,0.06522756406446505,0.8513055873701211,0.3232492604830138,0.011786639829588275,0.8101439483203283,1.4490413058345624,0.1559155414056228,0.0021557430508980444,-0.002245240778518176
2024-08-22,54065.0,0.06132872454786268,0.0912435021151837,0.8456672523813927,0.5937852584851567,0.08357868113123801,0.0,0.28127254231018217,-1.501746208738986,0.022765879524752716,0.27053599800214295
2024-08-23,57732.0,0.0591644533244798,0.08951906630119218,0.8513302847640823,0.559897457216102,0.08312780231112393,0.0,0.2526848195108432,0.06562458610781796,-0.002164271223382877,-0.033887801269054774
2024-08-26,60813.0,0.056001058091604695,0.08748592850750764,0.846677519609294,0.547448736289938,0.07913086799891378,0.0,0.24930524723332181,0.0519919694009392,-0.0031633952328751075,-0.012448720926164003
2024-08-27,64086.0,0.05718657254787171,0.08616803784158827,0.8609680741503605,0.53913491246138,0.08181203515889113,0.0,0.1804294229628936,0.05242234942935653,0.0011855144562670158,-0.008313823828557942
2024-08-28,68062.0,0.04894176896162678,0.08358250326011316,0.8408216038318004,0.5155593429520143,0.07283379211878427,0.0,0.2700772824777409,0.06019312314141878,-0.00824480358624493,-0.02357556950936568
2024-08-29,72126.0,0.055738437181590016,0.08258659867188091,0.8571250311954081,0.5159304550370185,0.035949706893795064,0.0,0.30754512935695866,0.05799553507313959,0.006796668219963234,0.00037111208500417714
2024-08-30,75092.0,0.052246331276340936,0.08079166797589364,0.8643663772439142,0.5122116869972834,0.0328681085804845,0.0,0.16848665636818835,0.04029943891194421,-0.0034921059052490794,-0.003718768039735143
2024-09-02,78918.0,0.05350026980128345,0.07947330681196567,0.868217643630097,0.5039154565498365,0.034400564872656414,0.8128690539547379,0.26872196457082037,0.04969531025258078,0.0012539385249425161,-0.008296230447446873
2024-09-03,82409.0,0.05912976348915701,0.0787002673718163,0.8951570823575095,0.5575725952262496,0.04109095468493207,0.7995849967843318,0.29431251440983386,0.04328531553727011,0.005629493687873556,0.053657138676413085
2024-09-04,87075.0,0.10423941306792693,0.0834442271771734,0.9686936548952053,0.8458225667527993,0.09042206445342593,0.7841975308641975,0.34044214757393054,0.05507516200009732,0.04510964957876992,0.28824997152654974
2024-09-05,88970.0,0.097803071852729,0.0838871036598492,0.9645610880071934,0.7991907384511633,0.08553496342927103,0.7751714060919411,0.22491851185792963,0.0215294180046115,-0.006436341215197927,-0.046631828301636036
2024-09-06,91183.0,0.08377791336192834,0.08229983026615038,0.9471721702510336,0.68033515019247,0.07300191880734452,0.7751444896526765,0.14807584747156816,0.02456924193954535,-0.01402515849080066,-0.11885558825869325
