panel,family,feature,n,corr_same_day,IC_2009_2013,IC_2014_2018,IC_2019_2022,IC_2023_2026,IC_sign_agree,corr_spot_h1,corr_spot_h2
all,call,call_far_share,4335,-0.27685543244445404,0.07859947992671827,0.0063377457046512094,0.031124210427925965,0.02422796359736186,1.0,-0.5042700865933519,-0.00881446743989321
all,call,call_wall,4335,-0.19288669059422453,0.084251223701264,-0.05564453621345402,0.0627150455753838,0.04684192240179347,0.75,-0.43495872411476794,0.09211916403826453
all,call,call_front_share,4335,0.0026317487251745785,-0.00194386860729195,0.0028205736514917683,-0.031019776913774996,-0.012267038077650961,0.75,-0.16385945478836125,-0.07562492031339539
all,call,call_churn,4335,0.0313664473746777,0.022907250605677013,-0.029478791107680733,-0.0139194191795814,0.05611818472246335,0.5,0.20829108792057208,0.5263528007225916
all,call,call_oi_growth,4334,-0.16166910099299214,0.028263653288377773,-0.06394941126420733,-0.027985651400857584,0.02204190525514046,0.5,0.003751691032456514,-0.0015904222966131943
all,call,call_cog_chg,4334,-0.7652816733732487,0.03341178729476065,0.0162691038453111,-0.013758001396020318,-0.008622882846796328,0.5,0.004556997575675925,-0.005052062562303742
all,call,call_far_chg,4334,-0.6661233462772392,0.0090705323580759,0.019860201642757837,0.011996045447666259,0.0012924088571837102,1.0,0.0026636186467049352,-0.003515045231079339
all,comb,pcr_oi,4335,0.30234569329081595,-0.009989628808371051,0.04192459711147072,0.026999033532815464,0.009230693568734518,0.25,0.39551220387418273,-0.13428023123038446
all,comb,pcr_vol,4335,0.212022036220805,0.0505890919767017,0.06068942478239349,0.008583489882333461,0.0035942998012350683,1.0,0.3343751293453293,-0.10922780410860794
all,comb,pcr_oi_chg,4334,0.5900354148866251,-0.029311461484054318,0.04909586792700769,-0.018254968695636555,-0.0014647673489599847,0.75,-0.011850330381411516,0.0011786634078723914
all,comb,pcr_far,4331,0.010702064253254642,-0.046088235918338404,0.012819210437138824,0.00022438545256791298,-0.0058086035989834755,0.5,-0.021568341863289448,0.03884107931393367
all,comb,pcr_atm,4335,-0.46082774662550513,0.037292453763512076,-0.01678807611531052,0.021165661580555675,0.037552000823682964,0.75,-0.011640087338673877,-0.008791918303599934
all,comb,cog_gap,4335,-0.02139394824227805,0.06517153427869918,0.022683727028363045,0.05443395748917365,0.025484108087960273,1.0,-0.6913956668579799,0.10866959283389067
all,comb,cog_mid,4335,-0.3232143380649748,0.032053453393743554,-0.010010976510449479,-0.001324772329606429,-0.006589892137251333,0.25,-0.05995208446830897,-0.3140144927085349
all,comb,far_asym,4335,0.3817166995085401,-0.04244712427882244,0.012210347919008102,0.004976228016075591,-0.007941074278211216,0.5,0.10849447006139729,0.07977255590739467
all,comb,wall_gap,4335,-0.017193121247101234,0.06843804371359659,-0.012110545249886069,0.019877897787658774,0.022620351295902598,0.75,-0.6184515170412483,0.28762008319622046
all,comb,wall_mid,4335,-0.20359106668475724,0.037602910004612106,-0.07601195790794492,0.046032615116521645,0.048271632155952274,0.75,0.1858473228444444,-0.22352768773078915
all,comb,churn_ratio,4335,-0.20219177964532117,0.03164183428443186,0.007510077959468046,-0.025083528346848558,-0.018194087187285095,0.5,-0.1945573244073334,0.051715888224977705
all,comb,oi_growth_diff,4334,-0.5900354148866253,0.029311461484054318,-0.04909586792700769,0.018254968695636555,0.0014647673489599847,0.75,0.01185033038141154,-0.0011786634078724155
