cell,SR_IS,SR_net,SR_of_SR,positive_years,n_years,beta,mean_abs_w,beta_per_w,gate_srsr,gate_posyr,gate_nyr,gate_beta,gate_beta_raw,n_gates,passes
monthly|call_disp|bdtanh|w252|c2c,-0.2417819918533459,-0.04354427042780472,0.03909653702005799,0.5,18,-0.24096457511917593,0.6403848145386326,-0.376,False,False,True,False,False,1,False
monthly|call_disp|rankc|w20|c2c,-0.1533785142147312,-0.1270428680344691,-0.2174939888164264,0.3333333333333333,18,-0.10442004013192309,0.5662349676225794,-0.184,False,False,True,False,True,1,False
monthly|call_disp|rankc|w60|c2c,-0.2633057020136205,-0.1534985694407259,-0.18681571890123505,0.2777777777777778,18,-0.1557730418312152,0.5781211276332119,-0.269,False,False,True,False,False,1,False
monthly|call_disp|rankc|w120|c2c,-0.13130951002667948,-0.19018419353287996,-0.22872736187010245,0.3333333333333333,18,-0.19305945374355596,0.5755927312431769,-0.335,False,False,True,False,False,1,False
monthly|call_disp|rankc|w252|c2c,-0.13868656298204513,-0.15656181280252734,-0.1409325429109535,0.3888888888888889,18,-0.24395680453013835,0.5850175780071183,-0.417,False,False,True,False,False,1,False
monthly|call_disp|signth|w20|c2c,-0.216048881766363,-0.060494622890530134,-0.17370567342502471,0.3333333333333333,18,-0.08482112396418602,0.4892868564118964,-0.173,False,False,True,False,True,1,False
monthly|call_disp|signth|w60|c2c,-0.17139145611961423,-0.10955930260408778,-0.18957508908796364,0.2777777777777778,18,-0.09250437011452732,0.4929645027182603,-0.188,False,False,True,False,True,1,False
monthly|call_disp|signth|w120|c2c,-0.0826089693639708,-0.13309901799946708,-0.2591038939525822,0.2777777777777778,18,-0.10602578633610102,0.47985289414774546,-0.221,False,False,True,False,True,1,False
monthly|call_disp|signth|w252|c2c,-0.022772370228796957,-0.097030507573124,-0.14589006768017862,0.4444444444444444,18,-0.10045990715039844,0.4921650143907899,-0.204,False,False,True,False,True,1,False
monthly|call_disp|dev|w20|c2c,-0.23901960729839805,-0.2388082803747151,-0.5137584728199215,0.2777777777777778,18,-0.0034888888065821248,0.007323869597774707,,False,False,True,False,True,1,False
monthly|call_disp|dev|w60|c2c,-0.46590797841146225,-0.09544471608009099,-0.451605323658735,0.16666666666666666,18,-0.004314463566923674,0.010691196426064727,-0.404,False,False,True,False,True,1,False
monthly|call_disp|dev|w120|c2c,-0.2520292610396869,-0.1907356474055987,-0.46920554434343115,0.16666666666666666,18,-0.0067981307428460706,0.013658328820241735,-0.498,False,False,True,False,True,1,False
