signal,sign,SR_gross,SR_net,held_pct,n_bars,SR_net_oos,SR_gross_oos,SR_net_oos_realcost,n_bars_oos,mean_pos,beta_oos
volume_put_weekly_signth60,-1,0.3174626740766638,0.1999110341669669,13.34971334971335,828,0.1293403747987776,0.1765677438979095,0.061093137040847,2073,0.052740434332988625,0.13085559090029886
oi_both_weekly_signth60,-1,0.5616201425038275,0.4603755754253411,13.677313677313675,828,0.1268054666545997,0.1710192020502689,0.0627879548677709,2073,-0.004825922095829024,0.03765045420810261
oi_pcr_all_signth60,1,0.4045176106444502,0.3873144185879575,68.08626808626809,3663,0.1207165088182256,0.1490527661297291,0.0805811658815534,2348,-0.014824575852413112,-0.33450381779488764
volume_pcr_front_logdev60,1,0.4784882516306732,0.4131054515376486,59.13185913185913,2186,0.119209306857096,0.1696046935297227,0.0463184980847575,1398,0.010718041518633432,-0.18718767558569932
oi_put_all_chg_selftanh20,1,0.201112113691308,0.1264980420242077,99.45399945399946,3663,0.1154784548989833,0.1871101734824881,0.013950236365754,2348,0.1317226755389721,0.12463206676623746
oi_put_weekly_selftanh60,-1,0.392476464871397,0.2885872617848055,21.594321594321595,799,0.1120518620096529,0.1595726380510652,0.0433778686869864,2073,0.011514030316053586,0.10156304525101773
volume_pcr_front_logdev120,1,0.694209385676632,0.6309353844075242,58.53125853125854,2159,0.1079307028268524,0.1581050896665204,0.0353504265283509,1398,0.022038555723496816,-0.1655128873131632
volume_call_monthly_rank60,1,0.0303726288906368,-0.0347592058794953,98.71689871689873,3663,0.1069641809911776,0.1430393331792716,0.0545997447353277,2348,0.04679235828919687,0.030851814107750754
volume_pcr_monthly_rank120,1,0.637818653566354,0.5717385192968036,99.31749931749933,3663,0.0997524011294228,0.1525927052048384,0.0237076942932592,2348,0.016627613861347708,-0.16135227014446218
volume_pcr_front_robust60,1,0.5200620879579145,0.4551106236010154,58.12175812175813,2160,0.0971426080902809,0.1481795796374004,0.0234818899410403,1398,0.033591343522863165,-0.15719089659894223
oi_pcr_all_rank60,1,0.3826375900340458,0.3612006546051738,98.6895986895987,3663,0.0918460017078053,0.1236158405498391,0.046688763642047,2348,0.024735198241362152,-0.2307652392391025
oi_put_weekly_winsor60,-1,0.2683527364029884,0.1638753616542703,21.21212121212121,799,0.0827473610487867,0.13135295555056,0.0122381830105546,2073,-0.0013710649411745796,0.039853449967855885
oi_pcr_all_robust20,1,0.4281886537729755,0.4005282197759031,98.6076986076986,3663,0.0817582027614821,0.1170813456578756,0.0316287111936486,2348,0.02032309347859455,-0.21826143245034016
volume_both_all_logdev120,-1,0.0244248330223481,-0.0373815551970003,99.34479934479934,3663,0.0799968313087197,0.1409838600611458,-0.0070423386338113,2348,-0.06440705334124212,-0.017477744806267004
volume_pcr_monthly_logdev120,1,0.5832545894658336,0.5181076941353453,98.77149877149876,3663,0.0748643875420784,0.1274995030585364,-0.0009751230156098,2348,0.007636694425728327,-0.18133667804285733
oi_pcr_all_robust60,1,0.4024186296306079,0.3820269218752553,98.77149877149876,3663,0.0729899558410226,0.1041004408942656,0.0289111838772396,2348,0.02187464319878577,-0.22852492476280603
