event,offset,hold,window,cell,sign,SR_IS,SR_OOS,full_SR_net,full_SR_of_SR,full_positive_years,full_yr_sr_min,full_n_years,full_beta,full_abs_exec_w,full_turnover_ann,full_held_pct,full_n_bars,beta_per_w,gate_srsr,gate_posyr,gate_nyr,gate_beta,gate_beta_raw,n_gates,passes
durable_goods,0,1,ongap,durable_goods|off0|h1|ongap,1,-0.2475660462736288,0.8120109176540167,0.6631270827860724,0.5308392947671534,0.8,-1.862871185178565,10,0.0262596352395443,0.0485865724381625,24.598939929328623,4.858657243816254,2264,0.54,False,True,True,False,True,2,False
durable_goods,0,1,night,durable_goods|off0|h1|night,1,-0.2069745887550324,0.599737973447567,0.5048406091611931,0.5485376121919312,0.7,-0.558846934966998,10,0.0348546875733432,0.0485865724381625,24.598939929328623,4.858657243816254,2264,0.717,False,True,True,False,True,2,False
durable_goods,0,2,c2c,durable_goods|off0|h2|c2c,1,0.6360113715693424,0.944293362013868,0.7345498413933728,1.0560858991589694,0.8823529411764706,-0.9306757580656252,17,0.0388434086739236,0.0636392708666453,16.037096258394627,6.363927086664535,6254,0.61,True,True,True,False,True,3,False
durable_goods,0,2,o2o,durable_goods|off0|h2|o2o,1,0.3433734468182069,0.5251758261650347,0.4022946652296707,0.4872433964401946,0.7647058823529411,-1.343623263430452,17,0.0377398429676291,0.0636392708666453,16.037096258394627,6.363927086664535,6254,0.593,False,True,True,False,True,2,False
durable_goods,0,2,day,durable_goods|off0|h2|day,1,0.1971536513038115,0.1688393868772401,0.1811981843857243,0.1684205581966186,0.5294117647058824,-1.5175827325198934,17,0.0314382768186166,0.0636290967226219,16.03453237410072,6.36290967226219,6255,0.494,False,False,True,False,True,1,False
durable_goods,0,2,ongap,durable_goods|off0|h2|ongap,1,0.544838400399369,0.5696151568960259,0.561040758896646,0.4955530487490836,0.6,-1.5508382403544716,10,0.0550398959819871,0.0976148409893992,24.48763250883392,9.76148409893993,2264,0.564,False,False,True,False,True,1,False
durable_goods,0,2,night,durable_goods|off0|h2|night,-1,0.4412951927737462,-0.6315474118170288,-0.5014117693636362,-0.6165994551436217,0.2,-2.2166899248967065,10,-0.076301403034724,0.0976148409893992,24.48763250883392,9.76148409893993,2264,-0.782,False,False,True,False,True,1,False
durable_goods,1,1,c2c,durable_goods|off1|h1|c2c,1,0.2411203644456905,0.7231056639410264,0.4390090282943368,0.6281011322147033,0.7058823529411765,-1.2867005300972447,17,0.0214590039827415,0.0318196354333226,16.037096258394627,3.181963543332268,6254,0.674,True,True,True,False,True,3,False
durable_goods,1,1,o2o,durable_goods|off1|h1|o2o,1,0.3551646109550663,0.8790437735137221,0.5598425337633737,0.686886426106271,0.6470588235294118,-1.526930600075182,17,0.0173384466428244,0.0318196354333226,16.037096258394627,3.181963543332268,6254,0.545,True,False,True,False,True,2,False
durable_goods,1,1,day,durable_goods|off1|h1|day,1,0.4072077870883708,0.6484367746558358,0.48982186059766,0.6093647721291567,0.5882352941176471,-0.7655902859958827,17,0.0136416932922494,0.0318145483613109,16.03453237410072,3.181454836131095,6255,0.429,True,False,True,False,True,2,False
durable_goods,1,1,ongap,durable_goods|off1|h1|ongap,1,0.5819520936482044,-0.2151623499019947,-0.1262988873378736,-0.0913949655203232,0.6,-1.6492868407664332,10,0.0287071335708746,0.0490282685512367,24.598939929328623,4.902826855123675,2264,0.586,False,False,True,False,True,1,False
durable_goods,1,1,night,durable_goods|off1|h1|night,-1,0.6430799619162271,-0.1922919208502633,-0.0902846595402904,-0.2662868185641122,0.5,-2.730669652272761,10,-0.0412886581289395,0.0490282685512367,24.598939929328623,4.902826855123675,2264,-0.842,False,False,True,False,True,1,False
durable_goods,1,2,c2c,durable_goods|off1|h2|c2c,1,0.1594247091036404,0.8966500825132335,0.4729930615606868,0.6904700944205625,0.6470588235294118,-0.9691979635246196,17,0.0367609890971653,0.0636392708666453,16.037096258394627,6.363927086664535,6254,0.578,True,False,True,False,True,2,False
durable_goods,1,2,o2o,durable_goods|off1|h2|o2o,1,0.3410946334735474,0.954479339448324,0.5827725624116346,0.9420927157524708,0.7647058823529411,-0.9598690794120592,17,0.0345750250641264,0.0636392708666453,16.037096258394627,6.363927086664535,6254,0.543,True,True,True,False,True,3,False
