frac,p,rep,sign,n_bars,SR_gross,SR_net,SR_of_SR,positive_years,yr_sr_min,n_years,beta,mean_exec_w,abs_exec_w,max_dd_pct,max_dd_days,turnover_ann,held_pct,start_date,end_date,mean_abs_w,beta_per_w,gate_srsr,gate_posyr,gate_nyr,gate_beta,gate_beta_raw,n_gates,passes,passes_old
0.05,0.52,51,1,2264,0.32263105354543986,0.20849294373938035,0.117232928293619,0.5,-1.081962024020309,10,-0.0006219348754395715,-0.0017667844522968198,0.04770318021201413,-9.959056786908455,1060,23.37455830388693,4.770318021201414,2017-05-16,2026-09-01,0.04770318021201413,-0.013,False,False,True,True,True,2,False,False
0.05,0.52,52,1,2264,0.8038341240461491,0.6827804760290974,0.4076299469273812,0.8,-1.427496648174031,10,-0.006761117250107353,0.0035335689045936395,0.045936395759717315,-3.609845686464582,617,23.151943462897528,4.593639575971731,2017-05-16,2026-09-01,0.045936395759717315,-0.147,False,True,True,True,True,3,False,False
0.05,0.52,53,1,2264,0.34247347785862764,0.1872915085196718,0.13875300997117226,0.5,-1.2946538756087889,10,-0.005995562421746531,-0.012809187279151944,0.05609540636042403,-7.593750038914996,1562,27.82685512367491,5.609540636042403,2017-05-16,2026-09-01,0.05609540636042403,-0.107,False,False,True,True,True,2,False,False
0.05,0.52,54,1,2264,0.9066699293532037,0.772462961412881,0.7128997539915157,0.8,-0.5014394292722464,10,0.015607178790216253,0.004858657243816254,0.04991166077738516,-4.001234406155276,702,24.598939929328623,4.991166077738516,2017-05-16,2026-09-01,0.04991166077738516,0.313,True,True,True,False,True,3,False,True
0.05,0.52,55,1,2264,0.1310564310730321,-0.012836067629689989,-0.15209268862049347,0.5,-1.7412300309391897,10,-0.0066097519373475785,0.003975265017667844,0.054328621908127206,-7.710591802433026,1399,26.045936395759718,5.43286219081272,2017-05-16,2026-09-01,0.054328621908127206,-0.122,False,False,True,True,True,2,False,False
0.05,0.52,56,1,2264,-0.2888681014223616,-0.45141879957432285,-0.37732796486323805,0.4,-2.1099609133684725,10,-0.005251550811115152,0.00265017667844523,0.045936395759717315,-8.167007493633493,2244,22.59540636042403,4.593639575971731,2017-05-16,2026-09-01,0.045936395759717315,-0.114,False,False,True,True,True,2,False,False
0.05,0.52,57,1,2264,-0.7052557399589164,-0.8164706927175805,-0.6518918191857195,0.1,-2.51263633469156,10,0.023470640597780913,0.003975265017667844,0.04902826855123675,-21.22170737301334,2263,23.931095406360424,4.902826855123675,2017-05-16,2026-09-01,0.04902826855123675,0.479,False,False,True,False,True,1,False,False
0.05,0.52,58,1,2264,0.5140556598440889,0.4047992356721013,0.711573577324786,0.7,-0.580432495602856,10,0.028308378772181814,0.003975265017667844,0.04991166077738516,-5.747376519383327,558,24.598939929328623,4.991166077738516,2017-05-16,2026-09-01,0.04991166077738516,0.567,True,True,True,False,True,3,False,True
0.05,0.52,59,1,2264,-0.24532152831277246,-0.4029440282586059,-0.593920327718143,0.3,-2.5076288088442844,10,-0.019258376177461217,-0.007508833922261484,0.05874558303886926,-9.362491185380504,2073,28.60600706713781,5.874558303886926,2017-05-16,2026-09-01,0.05874558303886926,-0.328,False,False,True,False,True,1,False,False
0.05,0.55,0,1,2264,0.060949001804302114,-0.042586746650466335,-0.22648003239267908,0.4,-1.3314828880257052,10,-0.02817564824604858,-0.002208480565371025,0.04726148409893993,-6.204088331991648,1893,23.151943462897528,4.726148409893993,2017-05-16,2026-09-01,0.04726148409893993,-0.596,False,False,True,False,True,1,False,False
0.05,0.55,1,1,2264,-0.23920564434300998,-0.3478872031622662,-0.6587125433466375,0.1,-1.9978314460753646,10,-0.0014079497197005489,-0.00441696113074205,0.052120141342756186,-19.147578475545707,2059,25.934628975265017,5.212014134275619,2017-05-16,2026-09-01,0.052120141342756186,-0.027,False,False,True,True,True,2,False,False
0.05,0.55,2,1,2264,-0.13243564317817982,-0.26583493771009015,-0.3459016207617395,0.4,-1.4820974296553087,10,0.008951630682216409,0.003975265017667844,0.04726148409893993,-7.165302291769144,2028,23.37455830388693,4.726148409893993,2017-05-16,2026-09-01,0.04726148409893993,0.189,False,False,True,False,True,1,False,False
0.05,0.55,3,1,2264,0.16253696872310863,0.020257594356633088,0.030262930758102168,0.5,-1.8172276213409624,10,-0.0062882578233548125,0.006183745583038869,0.044169611307420496,-5.4917698704199385,1907,22.03886925795053,4.41696113074205,2017-05-16,2026-09-01,0.044169611307420496,-0.142,False,False,True,True,True,2,False,False
0.05,0.55,4,1,2264,0.4948076896678393,0.3891365414556674,0.2724514189829029,0.6,-1.2973597479051568,10,-0.014662072962461532,0.00441696113074205,0.05123674911660778,-4.841115182902409,800,25.60070671378092,5.123674911660777,2017-05-16,2026-09-01,0.05123674911660778,-0.286,False,False,True,False,True,1,False,False
0.05,0.55,5,1,2264,0.4288380281056931,0.2905661413987843,0.5497860863611904,0.8,-2.3018036028100255,10,0.004574572328407838,0.00441696113074205,0.052120141342756186,-8.285411684679564,283,25.60070671378092,5.212014134275619,2017-05-16,2026-09-01,0.052120141342756186,0.088,False,True,True,True,True,3,False,False
0.05,0.55,6,1,2264,0.2910808603980018,0.19410157828297012,0.1961315052677074,0.5,-0.7560258446479201,10,0.016215483749552013,0.003975265017667844,0.04814487632508834,-5.854262157226084,1448,23.708480565371026,4.814487632508834,2017-05-16,2026-09-01,0.04814487632508834,0.337,False,False,True,False,True,1,False,False
0.05,0.55,7,1,2264,0.39714032202814503,0.30130082620728715,0.35699839657229854,0.5,-0.5993988239068113,10,0.01815604811725653,-0.001325088339222615,0.04726148409893993,-5.445535601483712,729,23.151943462897528,4.726148409893993,2017-05-16,2026-09-01,0.04726148409893993,0.384,False,False,True,False,True,1,False,False
0.05,0.55,8,1,2264,0.3917635061019024,0.2535684128674207,0.18388592282888455,0.5,-1.9283624112452713,10,-0.007014555476367173,-0.00044169611307420494,0.054328621908127206,-8.265762535521908,1081,27.159010600706715,5.43286219081272,2017-05-16,2026-09-01,0.054328621908127206,-0.129,False,False,True,True,True,2,False,False
