grid,cell,SR_pre,SR_post,dSR
QNT-12 522-cell sweep,wti_level|signth|w252,0.148,0.18,0.032
QNT-12 522-cell sweep,wti_level|dev|w60,0.022,-0.045,-0.067
QNT-12 522-cell sweep,wti_level|dev|w120,0.088,0.041,-0.04699999999999999
QNT-12 522-cell sweep,wti_level|dev|w252,0.124,0.108,-0.016
QNT-14 window grid,full | us_dxy_broad|selfz|w60 | c2c,0.2573860765382237,0.1896868941184138,-0.0676991824198099
QNT-14 window grid,full | us_dxy_broad|selfz|w60 | o2o,0.3065242255956587,0.2095217929166289,-0.09700243267902978
QNT-14 window grid,full | us_dxy_broad|selfz|w60 | day,-0.1486314739505751,-0.0598743413116372,0.0887571326389379
QNT-14 window grid,full | us_dxy_broad|selfz|w120 | c2c,0.3915149827719583,0.3212958205905448,-0.0702191621814135
QNT-14 window grid,full | us_dxy_broad|selfz|w120 | o2o,0.4167087493361163,0.3556487053500805,-0.06106004398603582
QNT-14 window grid,full | us_dxy_broad|selfz|w120 | day,0.1802182913231297,0.1184517700466784,-0.0617665212764513
QNT-14 window grid,full | us_dxy_broad|selfz|w252 | c2c,0.3466596749861029,0.3104258778331224,-0.036233797152980474
QNT-14 window grid,full | us_dxy_broad|selfz|w252 | o2o,0.3544372186495427,0.3281369045919162,-0.026300314057626506
QNT-14 window grid,full | us_dxy_broad|selfz|w252 | day,-0.1415166549030492,-0.1080255452880959,0.033491109614953316
QNT-14 window grid,full | us_dxy_broad|robustz|w60 | c2c,0.3644244216252436,0.3052709714320979,-0.05915345019314566
QNT-14 window grid,full | us_dxy_broad|robustz|w60 | o2o,0.3916342927460398,0.317881186717612,-0.07375310602842777
QNT-14 window grid,full | us_dxy_broad|robustz|w60 | day,0.1046113478521913,0.0515174199995748,-0.0530939278526165
QNT-14 window grid,full | us_dxy_broad|robustz|w120 | c2c,0.4024373749025812,0.3303133854985485,-0.0721239894040327
QNT-14 window grid,full | us_dxy_broad|robustz|w120 | o2o,0.4006138069394944,0.3532068534989778,-0.0474069534405166
QNT-14 window grid,full | us_dxy_broad|robustz|w120 | day,0.2046840904022106,0.1777288296668241,-0.02695526073538651
QNT-14 window grid,full | us_dxy_broad|robustz|w252 | c2c,0.3143707374062695,0.288195964228739,-0.026174773177530475
QNT-14 window grid,full | us_dxy_broad|robustz|w252 | o2o,0.3097707732629081,0.2911902039175723,-0.018580569345335807
QNT-14 window grid,full | us_dxy_broad|robustz|w252 | day,-0.0953854087092704,-0.0766082608208445,0.018777147888425896
QNT-14 window grid,full | us_dxy_broad|bdtanh|w60 | c2c,0.196776583379963,0.1291327627527472,-0.0676438206272158
QNT-14 window grid,full | us_dxy_broad|bdtanh|w60 | o2o,0.2835139485249963,0.1415991206776793,-0.141914827847317
QNT-14 window grid,full | us_dxy_broad|bdtanh|w60 | day,-0.1210532454225221,0.0222709168965881,0.14332416231911022
QNT-14 window grid,full | us_dxy_broad|bdtanh|w120 | c2c,0.3640605676549824,0.2922236425892733,-0.0718369250657091
QNT-14 window grid,full | us_dxy_broad|bdtanh|w120 | o2o,0.4095165970887096,0.3303762193720978,-0.07914037771661175
QNT-14 window grid,full | us_dxy_broad|bdtanh|w120 | day,0.1700739680174535,-0.1448861945123677,-0.3149601625298212
QNT-14 window grid,full | us_dxy_broad|bdtanh|w252 | c2c,0.3536666795513242,0.337278215537153,-0.01638846401417121
QNT-14 window grid,full | us_dxy_broad|bdtanh|w252 | o2o,0.3687342120599504,0.3402870578934295,-0.028447154166520883
QNT-14 window grid,full | us_dxy_broad|bdtanh|w252 | day,0.1059484455816807,-0.0988441067202917,-0.2047925523019724
QNT-14 window grid,full | us_dxy_broad|rankc|w60 | c2c,0.2269053518469629,0.1620132217170474,-0.06489213012991549
QNT-14 window grid,full | us_dxy_broad|rankc|w60 | o2o,0.3061337137969465,0.1618577622710057,-0.14427595152594078
QNT-14 window grid,full | us_dxy_broad|rankc|w60 | day,-0.136100667144093,0.0019186543724095,0.1380193215165025
QNT-14 window grid,full | us_dxy_broad|rankc|w120 | c2c,0.3408317063456229,0.3083672724705482,-0.032464433875074694
QNT-14 window grid,full | us_dxy_broad|rankc|w120 | o2o,0.4270733705006702,0.3028521277354304,-0.12422124276523977
QNT-14 window grid,full | us_dxy_broad|rankc|w120 | day,0.1769106629884214,-0.1089272252733405,-0.28583788826176193
QNT-14 window grid,full | us_dxy_broad|rankc|w252 | c2c,0.3945946886563719,0.3836138343284953,-0.010980854327876599
QNT-14 window grid,full | us_dxy_broad|rankc|w252 | o2o,0.4378882118779472,0.3611952900759205,-0.07669292180202669
QNT-14 window grid,full | us_dxy_broad|rankc|w252 | day,0.149321221329641,-0.1184170102420714,-0.2677382315717124
QNT-14 window grid,full | us_dxy_broad|signth|w60 | c2c,0.2248343809025997,0.0998581359826609,-0.12497624491993879
QNT-14 window grid,full | us_dxy_broad|signth|w60 | o2o,0.2679690267159101,0.1029419292006132,-0.16502709751529693
QNT-14 window grid,full | us_dxy_broad|signth|w60 | day,-0.090177482955257,-0.0028625586723628,0.0873149242828942
QNT-14 window grid,full | us_dxy_broad|signth|w120 | c2c,0.2194383026120439,0.1392722604008801,-0.0801660422111638
QNT-14 window grid,full | us_dxy_broad|signth|w120 | o2o,0.2967617446597125,0.1401173595590392,-0.1566443851006733
QNT-14 window grid,full | us_dxy_broad|signth|w120 | day,0.1037840581584416,-0.0310655229406617,-0.1348495810991033
QNT-14 window grid,full | us_dxy_broad|signth|w252 | c2c,0.2962985077364056,0.3593431881082441,0.06304468037183852
QNT-14 window grid,full | us_dxy_broad|signth|w252 | o2o,0.3224144219952336,0.3285971507256211,0.006182728730387499
QNT-14 window grid,full | us_dxy_broad|signth|w252 | day,0.1252093584802827,-0.0990333028533705,-0.2242426613336532
QNT-14 window grid,full | us_dxy_broad|dev|w60 | c2c,0.1700849133059742,0.1046016105842534,-0.0654833027217208
QNT-14 window grid,full | us_dxy_broad|dev|w60 | o2o,0.1946909280859385,0.1221961085091619,-0.07249481957677659
QNT-14 window grid,full | us_dxy_broad|dev|w60 | day,-0.054905285958003,0.0051678476012112,0.060073133559214204
QNT-14 window grid,full | us_dxy_broad|dev|w120 | c2c,0.1989395972289874,0.1435396202563487,-0.05539997697263871
QNT-14 window grid,full | us_dxy_broad|dev|w120 | o2o,0.2435503910893212,0.1636518020214826,-0.07989858906783859
QNT-14 window grid,full | us_dxy_broad|dev|w120 | day,-0.1110279319987987,-0.0280878727428165,0.0829400592559822
QNT-14 window grid,full | us_dxy_broad|dev|w252 | c2c,0.2747173800845607,0.2219807206716169,-0.05273665941294381
QNT-14 window grid,full | us_dxy_broad|dev|w252 | o2o,0.3082404306625391,0.2354575952470445,-0.0727828354154946
QNT-14 window grid,full | us_dxy_broad|dev|w252 | day,0.1310938994308476,-0.1004839868632213,-0.2315778862940689
QNT-14 window grid,full | us_real_10y|selfz|w60 | c2c,0.2964263613444389,0.3143806738633043,0.017954312518865423
QNT-14 window grid,full | us_real_10y|selfz|w60 | o2o,0.3987837342304505,0.2913573943437751,-0.10742633988667538
QNT-14 window grid,full | us_real_10y|selfz|w60 | day,0.4054862405789654,0.2559701127661611,-0.14951612781280427
QNT-14 window grid,full | us_real_10y|selfz|w120 | c2c,0.3491884435294355,0.3449131742286415,-0.004275269300794027
QNT-14 window grid,full | us_real_10y|selfz|w120 | o2o,0.4290571411273757,0.3310798204444409,-0.0979773206829348
QNT-14 window grid,full | us_real_10y|selfz|w120 | day,0.4352595743598684,0.3114586551686455,-0.12380091919122288
QNT-14 window grid,full | us_real_10y|selfz|w252 | c2c,0.3387392082013006,0.3222989406729865,-0.016440267528314123
QNT-14 window grid,full | us_real_10y|selfz|w252 | o2o,0.4201108207710738,0.3203031437502367,-0.0998076770208371
QNT-14 window grid,full | us_real_10y|selfz|w252 | day,0.3132008209277912,0.1837476363631527,-0.12945318456463853
QNT-14 window grid,full | us_real_10y|robustz|w60 | c2c,0.17254466761697,0.1568028989573464,-0.015741768659623595
QNT-14 window grid,full | us_real_10y|robustz|w60 | o2o,0.2652567181196437,0.1517844723517914,-0.11347224576785228
QNT-14 window grid,full | us_real_10y|robustz|w60 | day,0.3477143832186189,0.1988841302407196,-0.1488302529778993
QNT-14 window grid,full | us_real_10y|robustz|w120 | c2c,0.3433875732499948,0.2834002786248501,-0.05998729462514468
QNT-14 window grid,full | us_real_10y|robustz|w120 | o2o,0.4095148419691742,0.2953261731989698,-0.1141886687702044
QNT-14 window grid,full | us_real_10y|robustz|w120 | day,0.4558276417112702,0.3342825173766713,-0.12154512433459891
QNT-14 window grid,full | us_real_10y|robustz|w252 | c2c,0.2210931687773105,0.2008119293547051,-0.0202812394226054
QNT-14 window grid,full | us_real_10y|robustz|w252 | o2o,0.2813794591025598,0.1930229036770168,-0.08835655542554299
QNT-14 window grid,full | us_real_10y|robustz|w252 | day,0.1255348410199343,-0.093084301969352,-0.2186191429892863
QNT-14 window grid,full | us_real_10y|bdtanh|w60 | c2c,0.2780428735084465,0.3184519765701646,0.04040910306171813
QNT-14 window grid,full | us_real_10y|bdtanh|w60 | o2o,0.3668381902033928,0.3024980171290303,-0.06434017307436252
QNT-14 window grid,full | us_real_10y|bdtanh|w60 | day,0.3685412203551288,0.2430329009587931,-0.12550831939633572
QNT-14 window grid,full | us_real_10y|bdtanh|w120 | c2c,0.3793128192891163,0.3696891850020492,-0.009623634287067084
QNT-14 window grid,full | us_real_10y|bdtanh|w120 | o2o,0.4530187715876013,0.3799829801264216,-0.07303579146117967
QNT-14 window grid,full | us_real_10y|bdtanh|w120 | day,0.4296250271492139,0.32449712232075,-0.1051279048284639
QNT-14 window grid,full | us_real_10y|bdtanh|w252 | c2c,0.339558695559508,0.3160510982459877,-0.023507597313520312
QNT-14 window grid,full | us_real_10y|bdtanh|w252 | o2o,0.4246685385395611,0.324326507757166,-0.10034203078239512
QNT-14 window grid,full | us_real_10y|bdtanh|w252 | day,0.3075634074477981,0.177668058966108,-0.1298953484816901
QNT-14 window grid,full | us_real_10y|rankc|w60 | c2c,0.2179895745087673,0.2454028749678392,0.027413300459071893
QNT-14 window grid,full | us_real_10y|rankc|w60 | o2o,0.329615905352731,0.247932345304881,-0.08168356004784999
QNT-14 window grid,full | us_real_10y|rankc|w60 | day,0.3787164078612846,0.215461061778087,-0.16325534608319758
QNT-14 window grid,full | us_real_10y|rankc|w120 | c2c,0.3563088142937454,0.3276594910274514,-0.02864932326629399
QNT-14 window grid,full | us_real_10y|rankc|w120 | o2o,0.4516239741905501,0.368036744884649,-0.08358722930590112
QNT-14 window grid,full | us_real_10y|rankc|w120 | day,0.4648139035193908,0.3277868146799335,-0.1370270888394573
QNT-14 window grid,full | us_real_10y|rankc|w252 | c2c,0.3449070857468374,0.3327637890885919,-0.01214329665824554
QNT-14 window grid,full | us_real_10y|rankc|w252 | o2o,0.4266290942411253,0.3669967381523866,-0.05963235608873868
QNT-14 window grid,full | us_real_10y|rankc|w252 | day,0.3349032889649974,0.2091611354809146,-0.12574215348408277
QNT-14 window grid,full | us_real_10y|signth|w60 | c2c,0.3011840972138822,0.3382623397560385,0.0370782425421563
QNT-14 window grid,full | us_real_10y|signth|w60 | o2o,0.3346532284277685,0.3250927782523557,-0.009560450175412794
QNT-14 window grid,full | us_real_10y|signth|w60 | day,0.3467815570467638,0.2666730159814071,-0.0801085410653567
QNT-14 window grid,full | us_real_10y|signth|w120 | c2c,0.4112107587583233,0.4321469505595096,0.020936191801186277
QNT-14 window grid,full | us_real_10y|signth|w120 | o2o,0.5514280497989467,0.4181566065417533,-0.13327144325719337
QNT-14 window grid,full | us_real_10y|signth|w120 | day,0.5486464022521695,0.3571950256825614,-0.19145137656960814
QNT-14 window grid,full | us_real_10y|signth|w252 | c2c,0.3194777293009044,0.2463727243018389,-0.0731050049990655
