signal,dim,window,state_a,state_b,SR_a,SR_b,dSR,n_a,n_b,ep_a,ep_b,hit_a,hit_b,beta_a,beta_b,pos_a,pos_b,enabled,dSR_ci_lo,dSR_ci_hi,p_dSR_gt0,welch_t
opt_call_all_oi_signth_w20,igrea,OOS,igrea_high,igrea_low,0.21673308102091898,0.1515524887258569,0.0651805922950621,987,873,11,11,0.46282722513089003,0.4775757575757576,-0.15452316498486174,-0.009340916276917247,0.0190061907659291,0.008234195186440542,False,,,,
opt_call_all_oi_signth_w20,stlfsi,full,stress_on,stress_off,0.04265312434707233,0.0040999020363470815,0.03855322231072525,2298,3716,109,110,0.4864384170742552,0.4884945938453008,-0.011525048027475497,-0.12694113915561603,0.03641605116014574,-0.02756185979985465,False,-0.8250423335002371,0.8394973007357642,0.556,0.10067888849660547
opt_call_all_oi_signth_w20,stlfsi,IS,stress_on,stress_off,0.012645304982516136,-0.1010045886900884,0.11364989367260453,1573,2581,74,74,0.48702983138780803,0.5007892659826362,-0.03061863451019477,-0.11482118625611319,0.03377955803421661,-0.037899493576831575,False,,,,
opt_call_all_oi_signth_w20,stlfsi,OOS,stress_on,stress_off,0.11351996199472845,0.2280934345317396,-0.11457347253701115,725,1135,36,36,0.48514851485148514,0.4594594594594595,0.041618093842623737,-0.15263384577239256,0.04213633210785131,-0.004053989510535321,False,,,,
opt_call_all_oi_signth_w20,epu,full,epu_high,epu_low,-0.20323545289695508,0.2373274055804945,-0.4405628584774496,2827,3187,50,51,0.47786973731558113,0.49658758531036723,-0.03383244307152482,-0.11439749057957402,0.014815747870459618,-0.019020992996559235,False,-1.244233008263159,0.3030785430866231,0.1355,-1.0669228660826637
opt_call_all_oi_signth_w20,epu,IS,epu_high,epu_low,-0.2622905702548627,0.1740002644040008,-0.4362908346588635,1988,2166,34,34,0.4755849440488301,0.514218009478673,-0.03436552383781362,-0.12428077272747191,0.002339517069673361,-0.02277668885895208,False,,,,
opt_call_all_oi_signth_w20,epu,OOS,epu_high,epu_low,-0.049827924757399826,0.361026034330283,-0.41085395908768285,839,1021,17,17,0.4833948339483395,0.4581178903826267,-0.03306675935416207,-0.0964657405528339,0.04437802061415816,-0.011053473664587737,False,,,,
opt_call_all_oi_signth_w20,nfci,full,nfci_tight,nfci_loose,0.038957350572073224,0.0011686410381451687,0.03778870953392806,2725,3289,36,37,0.4849162011173184,0.4900662251655629,-0.045614495137961716,-0.10770376568086765,0.022310184903297215,-0.024180918002958292,False,-0.7414428451464952,0.7343595529093353,0.55,0.10343315536155345
opt_call_all_oi_signth_w20,nfci,IS,nfci_tight,nfci_loose,0.06888506641030757,-0.1835152722501568,0.25240033866046435,1940,2214,24,24,0.48852971845672577,0.5018535681186284,-0.04855489500686352,-0.10645227305004232,0.01859429540069834,-0.03647528509997034,False,,,,
opt_call_all_oi_signth_w20,nfci,OOS,nfci_tight,nfci_loose,-0.029836902407298825,0.41442731920496284,-0.44426422161226164,785,1075,13,13,0.4758800521512386,0.46495557749259625,-0.03852430576403268,-0.11222426250067993,0.03149340227277722,0.0011397599066088305,False,,,,
opt_call_all_oi_signth_w20,stlfsi_lvl,full,stress_on_lvl,stress_off_lvl,-0.15181100500239808,0.14405657807421626,-0.2958675830766143,1973,4041,42,42,0.48363636363636364,0.48969727804629865,-0.04153807817000852,-0.10077967498367701,0.020328608597512617,-0.014561774366032502,False,-1.467171288795178,0.6522064305966876,0.2625,-0.6326026406752586
opt_call_all_oi_signth_w20,stlfsi_lvl,IS,stress_on_lvl,stress_off_lvl,-0.4739533898307394,0.41979255996147785,-0.8937459497922173,1708,2446,28,27,0.47810437912417514,0.5076795350767953,-0.04495798286215398,-0.1208317299246339,0.007603275061671711,-0.02357716350748767,False,,,,
opt_call_all_oi_signth_w20,stlfsi_lvl,OOS,stress_on_lvl,stress_off_lvl,2.001161766746787,-0.1999830712881531,2.2011448380349403,265,1595,15,15,0.5193798449612403,0.4612352168199737,-0.019824961089324626,-0.07964824425161252,0.10234698474549853,-0.0007362935886034445,False,,,,
opt_call_all_oi_signth_w20,nfci_lvl,full,nfci_tight_lvl,nfci_loose_lvl,0.057315319009291044,0.014499898555654511,0.04281542045363653,591,5423,3,4,0.4670138888888889,0.48996212121212124,-0.01109262914751022,-0.09024902492828693,0.01711216929774835,-0.00531976350824529,False,-0.46158650549179475,3.30802652900422,0.607,0.07329076253480225
opt_call_all_oi_signth_w20,nfci_lvl,IS,nfci_tight_lvl,nfci_loose_lvl,-0.10390990714795885,-0.037247484025782054,-0.0666624231221768,554,3600,2,3,0.46938775510204084,0.49957591178965227,-0.04306140012934827,-0.08634674977687068,-0.0006188443192832814,-0.012316807883637948,False,,,,
opt_call_all_oi_signth_w20,nfci_lvl,OOS,nfci_tight_lvl,nfci_loose_lvl,2.4820988472854806,0.10662755173848522,2.3754712955469954,37,1823,1,2,0.43243243243243246,0.4704532415375789,0.6094468808393595,-0.09694714890845309,0.28259815696897855,0.008497767896808783,False,,,,
opt_put_mo_oi_selftanh_w60,igrea,full,igrea_high,igrea_low,-0.0035352498595076077,0.08243605551599875,-0.08597130537550636,3307,2678,36,35,0.5015188335358445,0.5123595505617977,0.11069651905520002,0.10052764012466031,0.024013070337278355,0.04101896860177103,False,-0.78547058156635,0.6698381659157953,0.4275,-0.21347861278441738
