frac,sign,n_bars,SR_gross,SR_net,SR_of_SR,positive_years,yr_sr_min,n_years,beta,mean_exec_w,abs_exec_w,max_dd_pct,max_dd_days,turnover_ann,held_pct,start_date,end_date,passes
0.4,1,2264,1.3535228026988526,1.1554913349805322,2.02577030010349,1.0,0.36998208917326986,10,0.37947174467806916,0.39664310954063603,0.39664310954063603,-8.548018812094227,150,114.64664310954063,39.6643109540636,2017-05-16,2026-09-01,False
0.4,1,2264,0.7294736748573081,0.5046361794607694,1.0538548809300168,0.9,-0.7889271698770638,10,0.3647619729697824,0.4001766784452297,0.4001766784452297,-11.859916415642235,386,126.8904593639576,40.01766784452297,2017-05-16,2026-09-01,False
0.4,1,2264,0.7862724489105846,0.5611255324026203,0.700447538020663,0.7,-0.6277664895323365,10,0.35398332942088717,0.3926678445229682,0.3926678445229682,-11.654211910422507,447,125.8886925795053,39.26678445229682,2017-05-16,2026-09-01,False
0.4,1,2264,0.36515088628788567,0.16985848681888485,0.28690643638146707,0.5,-1.8838074284824653,10,0.42990735714226314,0.4041519434628975,0.4041519434628975,-22.44861526747542,902,120.43462897526501,40.41519434628975,2017-05-16,2026-09-01,False
0.4,1,2264,0.7755078665894506,0.5787038293209815,0.39243324645206784,0.5,-1.1119946332126542,10,0.41489344921446714,0.3917844522968198,0.3917844522968198,-14.957035798000396,656,119.54416961130741,39.17844522968198,2017-05-16,2026-09-01,False
0.4,1,2264,0.5513845466659822,0.3324259611994277,0.38669112731086663,0.7,-1.3414275641750708,10,0.34428726672833226,0.39752650176678445,0.39752650176678445,-15.764739700094097,1030,120.21201413427562,39.75265017667844,2017-05-16,2026-09-01,False
0.4,1,2264,1.0265756499484209,0.8226375086620505,0.7347637067324361,0.8,-0.8048409339374761,10,0.4405816443800969,0.39840989399293286,0.39840989399293286,-15.56329123040392,675,128.4487632508834,39.840989399293285,2017-05-16,2026-09-01,False
0.4,1,2264,0.7683527935543154,0.5654168712997715,0.9947307419949343,0.8,-0.3716471809939559,10,0.4144087566257572,0.39443462897526504,0.39443462897526504,-16.33569513926678,386,120.87985865724382,39.4434628975265,2017-05-16,2026-09-01,False
0.4,1,2264,0.8650110604117547,0.6577663609123271,0.7827455811685529,0.8,-0.6409310908824382,10,0.39061702105738577,0.4112190812720848,0.4112190812720848,-13.955364340121221,453,121.54770318021201,41.12190812720848,2017-05-16,2026-09-01,False
1.0,1,2264,1.145666960799065,1.145666960799065,1.7637452351554226,1.0,0.1349864958089049,10,1.0,1.0,1.0,-18.229532072132958,177,0.0,100.0,2017-05-16,2026-09-01,False
1.0,1,2264,1.145666960799065,1.145666960799065,1.7637452351554226,1.0,0.1349864958089049,10,1.0,1.0,1.0,-18.229532072132958,177,0.0,100.0,2017-05-16,2026-09-01,False
1.0,1,2264,1.145666960799065,1.145666960799065,1.7637452351554226,1.0,0.1349864958089049,10,1.0,1.0,1.0,-18.229532072132958,177,0.0,100.0,2017-05-16,2026-09-01,False
1.0,1,2264,1.145666960799065,1.145666960799065,1.7637452351554226,1.0,0.1349864958089049,10,1.0,1.0,1.0,-18.229532072132958,177,0.0,100.0,2017-05-16,2026-09-01,False
1.0,1,2264,1.145666960799065,1.145666960799065,1.7637452351554226,1.0,0.1349864958089049,10,1.0,1.0,1.0,-18.229532072132958,177,0.0,100.0,2017-05-16,2026-09-01,False
1.0,1,2264,1.145666960799065,1.145666960799065,1.7637452351554226,1.0,0.1349864958089049,10,1.0,1.0,1.0,-18.229532072132958,177,0.0,100.0,2017-05-16,2026-09-01,False
1.0,1,2264,1.145666960799065,1.145666960799065,1.7637452351554226,1.0,0.1349864958089049,10,1.0,1.0,1.0,-18.229532072132958,177,0.0,100.0,2017-05-16,2026-09-01,False
1.0,1,2264,1.145666960799065,1.145666960799065,1.7637452351554226,1.0,0.1349864958089049,10,1.0,1.0,1.0,-18.229532072132958,177,0.0,100.0,2017-05-16,2026-09-01,False
1.0,1,2264,1.145666960799065,1.145666960799065,1.7637452351554226,1.0,0.1349864958089049,10,1.0,1.0,1.0,-18.229532072132958,177,0.0,100.0,2017-05-16,2026-09-01,False
1.0,1,2264,1.145666960799065,1.145666960799065,1.7637452351554226,1.0,0.1349864958089049,10,1.0,1.0,1.0,-18.229532072132958,177,0.0,100.0,2017-05-16,2026-09-01,False
1.0,1,2264,1.145666960799065,1.145666960799065,1.7637452351554226,1.0,0.1349864958089049,10,1.0,1.0,1.0,-18.229532072132958,177,0.0,100.0,2017-05-16,2026-09-01,False
1.0,1,2264,1.145666960799065,1.145666960799065,1.7637452351554226,1.0,0.1349864958089049,10,1.0,1.0,1.0,-18.229532072132958,177,0.0,100.0,2017-05-16,2026-09-01,False
