event,offset,window,n_ev,mean_bps,base_bps,diff_bps,t,p,pos_years,n_years,ann_SR_if_traded
PCE,1,c2c,198,13.838345535727333,6.362306565210365,7.476038970516967,1.0136208989464415,0.31185087858577415,0.6470588235294118,17,2.189105399342482
new_home_sales,2,ongap,108,4.891266687363236,1.3005684996849214,3.5906981876783157,1.0130217605291638,0.31298665053098357,0.6,10,2.1972887902368448
trade_balance,0,c2c,199,16.05874908095067,6.246647274484506,9.812101806466163,1.0051228689708966,0.3159778477899579,0.6470588235294118,17,1.8854227971095041
retail_sales,-1,ongap,111,6.045876852372372,1.2360381592859204,4.8098386930864505,1.0065064586452916,0.3161969009710081,0.7,10,1.9483244124469707
PPI,1,ongap,110,-4.290196734598598,1.766111480205091,-6.056308214803689,-0.983944812179885,0.3272156318970157,0.7,10,-1.0682586815294097
claims,1,ongap,480,3.6649130143523587,0.8817960990284686,2.78311691532389,0.9757266647477242,0.32958211891698674,0.7,10,0.9932099872038984
durable_goods,2,night,111,-0.8076569159734261,6.055389847898401,-6.863046763871828,-0.9613751772334441,0.33823670537070116,0.4,10,-0.17560694269411214
new_home_sales,2,c2c,195,13.556587944369314,6.382201357503078,7.174386586866237,0.9595500382779187,0.3383302210217358,0.6470588235294118,17,2.12960592039205
retail_sales,0,night,111,-0.8133158686242183,6.055681600682535,-6.868997469306754,-0.9579561321274435,0.33995321696368835,0.6,10,-0.1760061179733205
CPI,0,night,110,13.667661464669347,5.312981273787641,8.354680190881705,0.9384382271828067,0.34994722491992947,0.7,10,2.366839194556303
umich_sentiment,2,c2c,197,13.478658895718302,6.382459461287621,7.096199434430681,0.9306700186923906,0.3530347118400259,0.6470588235294118,17,2.0629323906857193
NFP,0,c2c,199,-3.7530704281891065,7.261461195287288,-11.014531623476396,-0.930751746711274,0.3530624879368454,0.5882352941176471,17,-0.3611857843675847
CPI,2,ongap,111,-3.8686497534558186,1.7471911798372113,-5.61584093329303,-0.9271795408060372,0.35576097797920864,0.6,10,-0.9749317886946717
FOMC,-1,day,94,7.8035506401270975,0.6042914052108488,7.199259234916249,0.9248693915660133,0.3573027430652214,0.6666666666666666,12,1.6636001308248116
new_home_sales,0,c2c,195,14.358691815201002,6.341982726797968,8.016709088403033,0.9165106559412158,0.3604360112995613,0.7647058823529411,17,1.910099433038193
new_home_sales,-2,night,108,-0.03933793765008657,6.007352932336928,-6.046690869987015,-0.9163801903696123,0.36125888486230445,0.5,10,-0.009432536466276177
CPI,2,night,111,10.866470517659215,5.453518902643768,5.412951615015447,0.9151946677692469,0.3617659143442283,0.8,10,2.894368708994846
trade_balance,-2,ongap,109,4.736218818673625,1.3067446108215754,3.4294742078520497,0.9042140581082118,0.3676260922558215,0.6,10,1.9681732658558706
NFP,0,night,110,-3.0523938857706505,6.166837396604911,-9.219231282375562,-0.9030229187390786,0.3683997692685038,0.6,10,-0.4587347489221139
PCE,2,c2c,198,13.639400973164271,6.372443215593145,7.266957757571127,0.9011563967715934,0.36849016947909513,0.5882352941176471,17,1.9618587888725154
case_shiller,2,night,111,13.081251924979968,5.339333702359234,7.7419182226207335,0.8972032166998568,0.3714218961623333,0.8,10,2.329629809817652
NFP,0,ongap,110,-6.972578186447606,1.903094748405365,-8.875672934852972,-0.8972542534873952,0.3715294697755783,0.4,10,-1.0711459580114995
industrial_production,-1,ongap,110,6.0698975872720045,1.237044453554317,4.832853133717688,0.8893006277506085,0.375675347496647,0.5,10,1.718663900922333
JOLTS,-2,day,191,-4.058126979761959,1.00687354741787,-5.065000527179829,-0.8726131842314327,0.38387082579961046,0.47058823529411764,17,-0.8233915280983177
GDP_advance,-2,ongap,37,5.273001814458577,1.4087029278944554,3.864298886564121,0.8720967376474306,0.3883867465305372,0.8,10,3.1845273867587833
claims,0,night,480,2.747787567484762,6.5183107581051125,-3.7705231906203505,-0.8591674503491841,0.39054621812216855,0.7,10,0.49857253117929895
